Id,StockExchange,Name,IPOyear,Sector,Industry,SummaryQuote
XXII,AMEX,"22nd Century Group, Inc",n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/xxii
FAX,AMEX,Aberdeen Asia-Pacific Income Fund Inc,1986,n/a,n/a,http://www.nasdaq.com/symbol/fax
IAF,AMEX,Aberdeen Australia Equity Fund Inc,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iaf
CH,AMEX,"Aberdeen Chile Fund, Inc.",n/a,n/a,n/a,http://www.nasdaq.com/symbol/ch
ETF,AMEX,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,1992,n/a,n/a,http://www.nasdaq.com/symbol/etf
FCO,AMEX,"Aberdeen Global Income Fund, Inc.",1992,n/a,n/a,http://www.nasdaq.com/symbol/fco
IF,AMEX,"Aberdeen Indonesia Fund, Inc.",1990,n/a,n/a,http://www.nasdaq.com/symbol/if
ISL,AMEX,"Aberdeen Israel Fund, Inc.",1992,n/a,n/a,http://www.nasdaq.com/symbol/isl
ACU,AMEX,Acme United Corporation.,1988,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acu
ATNM,AMEX,"Actinium Pharmaceuticals, Inc.",n/a,Finance,Business Services,http://www.nasdaq.com/symbol/atnm
AE,AMEX,"Adams Resources & Energy, Inc.",n/a,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/ae
ADK,AMEX,Adcare Health Systems Inc,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/adk
ADK^A,AMEX,Adcare Health Systems Inc,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adk^a
API,AMEX,"Advanced Photonix, Inc.",n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/api
ACY,AMEX,AeroCentury Corp.,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/acy
AIRI,AMEX,Air Industries Group,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/airi
AA^,AMEX,Alcoa Inc.,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/aa^
AXX,AMEX,Alderon Iron Ore Corp.,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/axx
AXU,AMEX,Alexco Resource Corp,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/axu
ANV,AMEX,Allied Nevada Gold Corp.,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/anv
AAU,AMEX,"Almaden Minerals, Ltd.",n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aau
APT,AMEX,"Alpha Pro Tech, Ltd.",n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/apt
ALTV,AMEX,Alteva (D/B/A),n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/altv
AAMC,AMEX,Altisource Asset Management Corp,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/aamc
DIT,AMEX,AMCON Distributing Company,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/dit
APP,AMEX,American Apparel Inc,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/app
ADGE,AMEX,American DG Energy Inc.,n/a,Energy,Electric Utilities: Central,http://www.nasdaq.com/symbol/adge
AMZG,AMEX,American Eagle Energy Corporation.,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/amzg
ALN,AMEX,American Lorain Corporation,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/aln
AMS,AMEX,American Shared Hospital Services,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/ams
AQQ,AMEX,"American Spectrum Realty, Inc.",n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aqq
AMPE,AMEX,"Ampio Pharmaceuticals, Inc.",n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ampe
AXN,AMEX,"Aoxing Pharmaceutical Company, Inc.",n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/axn
AMCO,AMEX,"Armco Metals Holdings, Inc.",n/a,Consumer Durables,Steel/Iron Ore,http://www.nasdaq.com/symbol/amco
HRT,AMEX,Arrhythmia Research Technology Inc.,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/hrt
AKG,AMEX,Asanko Gold Inc.,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/akg
ATL,AMEX,Atlatsa Resources Corporation,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/atl
AZC,AMEX,Augusta Resource Corporation,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/azc
AWX,AMEX,Avalon Holdings Corporation,n/a,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/awx
AVL,AMEX,"Avalon Rare Metals, Inc.",n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/avl
ASM,AMEX,Avino Silver,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/asm
BTG,AMEX,B2Gold Corp,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/btg
BONE,AMEX,"Bacterin International Holdings, Inc.",n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/bone
BTN,AMEX,"Ballantyne Strong, Inc",n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/btn
BKJ,AMEX,"Bancorp of New Jersey, Inc",n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bkj
BCV,AMEX,Bancroft Fund Limited,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bcv
BAA,AMEX,BANRO CORPORATION,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/baa
BHB,AMEX,"Bar Harbor Bankshares, Inc.",n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bhb
BRN,AMEX,"Barnwell Industries, Inc.",n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/brn
BXE,AMEX,Bellatrix Exploration Ltd,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/bxe
BIR^A,AMEX,"Berkshire Income Realty, Inc.",n/a,n/a,n/a,http://www.nasdaq.com/symbol/bir^a
BTX,AMEX,"BioTime, Inc.",n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/btx
BGI,AMEX,Birks Group Inc.,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bgi
BQY,AMEX,BlackRock Dividend Income Trust,2004,n/a,n/a,http://www.nasdaq.com/symbol/bqy
BZM,AMEX,BlackRock Maryland Municipal Bond Trust,2002,n/a,n/a,http://www.nasdaq.com/symbol/bzm
MHE,AMEX,BlackRock Massachusetts Tax-Exempt Trust,1993,n/a,n/a,http://www.nasdaq.com/symbol/mhe
BLE,AMEX,BlackRock Municipal Income Trust II,2002,n/a,n/a,http://www.nasdaq.com/symbol/ble
BLJ,AMEX,Blackrock New Jersey Municipal Bond Trust,2002,n/a,n/a,http://www.nasdaq.com/symbol/blj
BFY,AMEX,BlackRock New York Municipal Income Trust II,2002,n/a,n/a,http://www.nasdaq.com/symbol/bfy
BPS,AMEX,BlackRock Pennsylvania Strategic Municipal Trust (The),1999,n/a,n/a,http://www.nasdaq.com/symbol/bps
BHV,AMEX,BlackRock Virginia Municipal Bond Trust,2002,n/a,n/a,http://www.nasdaq.com/symbol/bhv
BDR,AMEX,"Blonder Tongue Laboratories, Inc.",n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/bdr
BRG,AMEX,"Bluerock Residential Growth REIT, Inc.",2014,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/brg
BVX,AMEX,Bovie Medical Corporation,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/bvx
BWL/A,AMEX,"Bowl America, Inc.",n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/bwl/a
BZC,AMEX,Breeze-Eastern Corporation,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/bzc
BTI,AMEX,British American Tobacco p.l.c.,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/bti
CAK,AMEX,CAMAC Energy Inc.,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cak
CANF,AMEX,Can-Fite Biopharma Ltd,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/canf
ROX,AMEX,"Castle Brands, Inc.",2006,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/rox
CAW,AMEX,"CCA Industries, Inc.",n/a,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/caw
CVM,AMEX,Cel-Sci Corporation,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cvm
CVM/WS,AMEX,Cel-Sci Corporation,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cvm/ws
CEF,AMEX,Central Fund of Canada Limited,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cef
GTU,AMEX,Central Gold Trust,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gtu
CET,AMEX,Central Securities Corporation,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cet
CCF,AMEX,Chase Corporation,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ccf
CQH,AMEX,"Cheniere Energy Partners LP Holdings, LLC",2013,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/cqh
CQP,AMEX,"Cheniere Energy Partners, LP",2007,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/cqp
LNG,AMEX,"Cheniere Energy, Inc.",n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/lng
CVR,AMEX,Chicago Rivet & Machine Co.,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cvr
CNR,AMEX,China Metro-Rural Holdings Limited,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/cnr
CPHI,AMEX,"China Pharma Holdings, Inc.",n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cphi
CKX,AMEX,"CKX Lands, Inc.",n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ckx
GLV,AMEX,Clough Global Allocation Fund,2004,n/a,n/a,http://www.nasdaq.com/symbol/glv
GLQ,AMEX,Clough Global Equity Fund,2005,n/a,n/a,http://www.nasdaq.com/symbol/glq
